# plate, CMS device id, SIM phone — paste into Admin → Bulk SIM import
T 765 EMX,1197,255300020357668
T 774 EMX,1192,255300020357666
T 466 EMV,1208,255300020357663
T 282 EHK,1187,255300020357665
T 315 ELP,1180,255300020357670
T 316 ELP,1207,255300020357664
T 950 EKQ,1190,255300020357669
T 130 ELA,1188,255300020357672
T 662 EJM,1198,255300020357477
T 772 EMX,1189,255300020357671
T 126 ELA,1201,255300020357602
T 314 ELP,1221,255300020357603
T 769 EMX,1186,255300020357604
T 660 EJM,1205,255300020357606
T 318 ELP,1214,255300020357605
T 661 EJM,1183,255300020357607
T 621 EMB,1225,255300020357568
T 317 ELP,1184,255300020357569
T 468 EMV,1217,255300020357643
T 125 EJG,1226,255300020357652
T 467 EMV,1220,255300020357476
T 768 EMX,1211,255300020357600
T 624 EMB,1219,255300020357599
T 623 EMB,1222,255300020357598
T 620 EMB,1223,255300020357475
T 622 EMB,1200,255300020357469
T 663 EJM,1212,255300020357644
T 493 EPR,1196,255300020357577
T 469 EMV,1193,255300020357651
T 175 EQY,1199,255300020357576
T 771 EMX,1218,255300020357468
T 770 EMX,14682601177,255300020358435
T 491 EPR,1182,255300020357601
BNGG5P5S1SK001560,1210,255300020358457
BNGG5P5S1SK001555,1209,255300020358456
BNGG5P5S1SK001550,1179,255300020358455
BNGG5P5S1SK001557,1206,255300020358453
BNGG5P5S1SK001552,1204,255300020358454
T 885 ERP,1178,255300020358620
T 890 ERP,1185,255300020358618
T 884 ERP,1203,255300020358619
T 898 ERP,1202,255300020358621
T 891 ERP,1181,255300020358622
T 887 ERP,1213,255300020358440
T 893 ERP,1215,255300020358433
T 895 ERP,1194,255300020358439
T 896 ERP,1216,255300020358434
# T 972 EHX,14682601264,<SIM when known> — add later
